 mode no    eigenvalue   Sum(1/eigenvalue)
         640   4.3548274       116.86682    
         641   4.3492026       117.09675    
         642   4.3477135       117.32675    
         643   4.3444805       117.55693    
         644   4.3425741       117.78721    
         645   4.3418283       118.01752    
         646   4.3369579       118.24810    
         647   4.3317719       118.47895    
         648   4.3296957       118.70992    
         649   4.3289108       118.94092    
         650   4.3238955       119.17219    
         651   4.3216996       119.40358    
         652   4.3193231       119.63509    
         653   4.3150811       119.86684    
         654   4.3100772       120.09885    
         655   4.3065801       120.33105    
         656   4.3049922       120.56335    
         657   4.3011289       120.79585    
         658   4.2985549       121.02848    
         659   4.2977247       121.26116    
         660   4.2936091       121.49406    
         661   4.2904425       121.72714    
         662   4.2878380       121.96036    
         663   4.2816639       122.19391    
         664   4.2788787       122.42761    
         665   4.2764258       122.66145    
         666   4.2748842       122.89538    
         667   4.2735500       123.12938    
         668   4.2709365       123.36352    
         669   4.2672272       123.59786    
         670   4.2644310       123.83236    
         671   4.2611899       124.06703    
         672   4.2559781       124.30199    
         673   4.2554731       124.53699    
         674   4.2520695       124.77216    
         675   4.2514505       125.00738    
         676   4.2449241       125.24295    
         677   4.2408719       125.47875    
         678   4.2385478       125.71468    
         679   4.2353926       125.95079    
         680   4.2342963       126.18696    
         681   4.2300477       126.42336    
         682   4.2267838       126.65995    
         683   4.2229352       126.89675    
         684   4.2182817       127.13381    
         685   4.2145991       127.37109    
         686   4.2128096       127.60846    
         687   4.2108550       127.84594    
         688   4.2056499       128.08371    
         689   4.2042775       128.32156    
         690   4.2012124       128.55959    
         691   4.1983881       128.79778    
         692   4.1951857       129.03615    
         693   4.1930442       129.27464    
         694   4.1893873       129.51334    
         695   4.1875749       129.75214    
         696   4.1846156       129.99110    
         697   4.1823149       130.23021    
         698   4.1811476       130.46938    
         699   4.1769891       130.70879    
         700   4.1752491       130.94829    
         701   4.1729670       131.18793    
         702   4.1697941       131.42775    
         703   4.1646199       131.66786    
         704   4.1624746       131.90810    
         705   4.1603222       132.14847    
         706   4.1572628       132.38901    
         707   4.1551013       132.62967    
         708   4.1523280       132.87050    
         709   4.1483817       133.11156    
         710   4.1440749       133.35286    
         711   4.1409860       133.59435    
         712   4.1402359       133.83588    
         713   4.1340289       134.07777    
         714   4.1327538       134.31975    
         715   4.1299467       134.56187    
         716   4.1279898       134.80412    
         717   4.1247587       135.04655    
         718   4.1233649       135.28908    
         719   4.1199169       135.53180    
         720   4.1167688       135.77470    
         721   4.1143589       136.01776    
         722   4.1099453       136.26108    
         723   4.1061177       136.50462    
         724   4.1024094       136.74838    
         725   4.1000738       136.99228    
         726   4.0968904       137.23637    
         727   4.0950127       137.48058    
         728   4.0924783       137.72493    
         729   4.0863686       137.96965    
         730   4.0848484       138.21446    
         731   4.0808654       138.45950    
         732   4.0793734       138.70464    
         733   4.0770006       138.94992    
         734   4.0754123       139.19530    
         735   4.0738983       139.44077    
         736   4.0670776       139.68665    
         737   4.0661774       139.93257    
         738   4.0648732       140.17859    
         739   4.0607271       140.42485    
         740   4.0595880       140.67119    
         741   4.0545793       140.91782    
         742   4.0496593       141.16475    
         743   4.0479155       141.41179    
         744   4.0434303       141.65910    
         745   4.0396061       141.90665    
         746   4.0392060       142.15422    
         747   4.0362697       142.40198    
         748   4.0320826       142.64999    
         749   4.0282931       142.89824    
         750   4.0241132       143.14674    
         751   4.0191898       143.39555    
         752   4.0182891       143.64441    
         753   4.0160589       143.89340    
         754   4.0131035       144.14259    
         755   4.0105810       144.39194    
         756   4.0075727       144.64146    
         757   4.0052171       144.89114    
         758   4.0021710       145.14101    
         759   3.9955044       145.39128    
         760   3.9952219       145.64159    
         761   3.9935381       145.89200    
         762   3.9920411       146.14250    
         763   3.9894104       146.39316    
         764   3.9873936       146.64395    
         765   3.9862487       146.89482    
         766   3.9816849       147.14597    
